3 3 3                    ! number of spheres IsCaseLattice==T
8                        ! number of spheres IsCaseLattice==F
6.753165761534543E-01   6.753165761534543E-01   6.753165761534543E-01                 ! periodic box size
   0.000000000000000E+00   4.665392843135197E-01   4.665392843135197E-01   4.665392843135197E-01   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   4.665392843135197E-01   4.665392843135197E-01   2.799235705881118E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   4.665392843135197E-01   2.799235705881118E+00   4.665392843135197E-01   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   4.665392843135197E-01   2.799235705881118E+00   2.799235705881118E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   2.799235705881118E+00   4.665392843135197E-01   4.665392843135197E-01   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   2.799235705881118E+00   4.665392843135197E-01   2.799235705881118E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   2.799235705881118E+00   2.799235705881118E+00   4.665392843135197E-01   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   2.799235705881118E+00   2.799235705881118E+00   2.799235705881118E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   1.632887495097319E+00   1.632887495097319E+00   1.632887495097319E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   1.632887495097319E+00   1.632887495097319E+00   3.965583916664917E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   1.632887495097319E+00   3.965583916664917E+00   1.632887495097319E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   1.632887495097319E+00   3.965583916664917E+00   3.965583916664917E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   3.965583916664917E+00   1.632887495097319E+00   1.632887495097319E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   3.965583916664917E+00   1.632887495097319E+00   3.965583916664917E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   3.965583916664917E+00   3.965583916664917E+00   1.632887495097319E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
   0.000000000000000E+00   3.965583916664917E+00   3.965583916664917E+00   3.965583916664917E+00   1.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00



