   s^              X11A                    X12A                    Y11A                    Y12A                    Y11B                    Y12B                    X11C                    X12C                    Y11C                    Y12C                    X11G                    X12G                    Y11G                    Y12G                    Y11H                    Y12H                    X11M                    X12M                    Y11M                    Y12M                    Z11M                    Z12M
  2.0010000E+00   2.525498099669303E+02  -2.519046299669303E+02   2.149612546497023E+00  -1.424952546497023E+00  -9.925681927702713E-01   1.150769659436938E+00   1.401248707453503E+00  -1.991953741201696E-01   2.780932951718502E+00   4.244960597018717E-01   2.512423804227325E+02  -2.514249137560658E+02   4.818740963851357E-01  -5.076407630518024E-01   1.321147509482183E-01   8.824077547619682E-01   1.685009198147098E+02   1.675418813566697E+02   1.904053478109130E+00   5.253015251383350E-04   1.138424353726752E+00  -7.975657594897372E-02
  2.0020000E+00   1.273939997475788E+02  -1.267488197475788E+02   2.034088016403699E+00  -1.309428016403698E+00  -8.775037844201022E-01   1.035705251086769E+00   1.400328463967193E+00  -1.982751306338593E-01   2.597477749772593E+00   3.787426884337519E-01   1.260871913677343E+02  -1.262697247010677E+02   4.243418922100512E-01  -4.501085588767178E-01   1.095141383600515E-01   7.904040807431212E-01   8.506438784703217E+01   8.410565613682088E+01   1.811773731044390E+00  -2.176242827768289E-02   1.137964231983596E+00  -7.929645420581852E-02
  2.0040000E+00   6.473830029161735E+01  -6.409312029161735E+01   1.918563486310374E+00  -1.193903486310374E+00  -7.627839732829952E-01   9.209854399496619E-01   1.398719026054758E+00  -1.966656927214252E-01   2.415059096243576E+00   3.333311576009896E-01   6.343257828236372E+01  -6.361511161569705E+01   3.669819866414976E-01  -3.927486533081643E-01   8.729120431740056E-02   6.987119226048820E-01   4.329510179752697E+01   4.233690656661982E+01   1.719598741532421E+00  -4.343815343010625E-02   1.137159513027379E+00  -7.849173524960147E-02
  2.0060000E+00   4.381396793747361E+01  -4.316878793747362E+01   1.850985968292347E+00  -1.126325968292347E+00  -6.959239661972241E-01   8.541254328638908E-01   1.397284004190246E+00  -1.952306708569126E-01   2.309093340298959E+00   3.070119212385768E-01   4.250921456797854E+01  -4.269174790131186E+01   3.335519830986121E-01  -3.593186497652787E-01   7.456209269554799E-02   6.452985380732198E-01   2.934659924413178E+01   2.838888235384614E+01   1.665754850441405E+00  -5.567935761802453E-02   1.136442002095123E+00  -7.777422431734518E-02
  2.0080000E+00   3.333278522955101E+01  -3.268760522955101E+01   1.803038956217050E+00  -1.078378956217050E+00  -6.486378320419185E-01   8.068392987085851E-01   1.395962248350264E+00  -1.939089150169303E-01   2.234366041761817E+00   2.884887073050894E-01   3.202892404524791E+01  -3.221145737858125E+01   3.099089160209592E-01  -3.356755826876259E-01   6.569701248079894E-02   6.075383620526544E-01   2.236011339313270E+01   2.140283708812706E+01   1.627598147668845E+00  -6.409504084717960E-02   1.135781124175132E+00  -7.711334639735402E-02
  2.0100000E+00   2.703277681957571E+01  -2.638759681957571E+01   1.765848364331349E+00  -1.041188364331349E+00  -6.120660061530053E-01   7.702674728196720E-01   1.394724716356687E+00  -1.926713830233532E-01   2.176722342863035E+00   2.742262864196230E-01   2.572975096936828E+01  -2.591228430270162E+01   2.916230030765027E-01  -3.173896697431693E-01   5.893706163613888E-02   5.783452530051900E-01   1.816101530994446E+01   1.720415151560334E+01   1.598033779023307E+00  -7.043423081402346E-02   1.135162358178343E+00  -7.649458040056549E-02
  2.0200000E+00   1.437768090283138E+01  -1.373250090283138E+01   1.650323834238024E+00  -9.256638342380243E-01  -4.992238725804046E-01   6.574253392470712E-01   1.389359923315239E+00  -1.873065899819062E-01   1.999951743448052E+00   2.306774117308510E-01   1.307827628792693E+01  -1.326080962126026E+01   2.352019362902023E-01  -2.609686029568689E-01   3.877206220418696E-02   4.883505153852646E-01   9.728218880345302E+00   8.773143350351333E+00   1.506429603490948E+00  -8.877520061188338E-02   1.132479961657620E+00  -7.381218387984198E-02
  2.0400000E+00   7.973075856121989E+00  -7.327895856121989E+00   1.534799304144700E+00  -8.101393041447000E-01  -3.879088902275941E-01   5.461103568942608E-01   1.380940827834212E+00  -1.788874945008787E-01   1.827774814902199E+00   1.886434710521109E-01   6.679354130667231E+00  -6.861887464000564E+00   1.795444451137971E-01  -2.053111117804637E-01   2.028082050912520E-02   3.997363224680296E-01   5.464656185891793E+00   4.512387021058166E+00   1.415289681929404E+00  -1.044039498433958E-01   1.128270413917106E+00  -6.960263613932821E-02
  2.0600000E+00   5.799585630875325E+00  -5.154405630875325E+00   1.467221786126673E+00  -7.425617861266727E-01  -3.236688397104729E-01   4.818703063771396E-01   1.374265892832400E+00  -1.722125594990663E-01   1.729689888316081E+00   1.649232316057989E-01   4.510369486546788E+00  -4.692902819880122E+00   1.474244198552365E-01  -1.731910865219031E-01   1.042318128651289E-02   3.486913786744268E-01   4.020557654728679E+00   3.070513468228990E+00   1.362242257635258E+00  -1.119921111653919E-01   1.124932946416200E+00  -6.626516863842205E-02
  2.0800000E+00   4.694081220635733E+00  -4.048901220635733E+00   1.419274774051376E+00  -6.946147740513759E-01  -2.784929650134310E-01   4.366944316800976E-01   1.368723618075890E+00  -1.666702847425566E-01   1.661310250229396E+00   1.484933950549090E-01   3.408606111767840E+00  -3.591139445101174E+00   1.248364825067155E-01  -1.506031491733822E-01   3.870945438020847E-03   3.128388772041318E-01   3.287619049390391E+00   2.339422287809539E+00   1.324727073738010E+00  -1.166599735966706E-01   1.122161809037945E+00  -6.349403126016719E-02
