   s^              X11A                    X12A                    Y11A                    Y12A                    Y11B                    Y12B                    X11C                    X12C                    Y11C                    Y12C                    X11G                    X12G                    Y11G                    Y12G                    Y11H                    Y12H                    X11M                    X12M                    Y11M                    Y12M                    Z11M                    Z12M
  2.0020000E+00   1.253301120915022E+02  -1.253326786605016E+02   6.599866564522126E-01  -6.570390783316927E-01  -6.563613313180571E-01   6.591588417117085E-01   4.595964672723363E-02  -2.948590272316876E-02   1.107243452402155E+00   2.287161058565847E-01   1.255224349974877E+02  -1.254721670992178E+02   3.533245972296233E-01  -3.257040401601547E-01   1.024199448302257E-01   5.993677365974973E-01   8.374559044820344E+01   8.390824434107394E+01   5.795659805982714E-01   2.337581814626442E-01   2.253932493017752E-02  -9.929924539161666E-03
  2.0040000E+00   6.267678542470054E+01  -6.267943047238563E+01   5.462761474359048E-01  -5.435000598223861E-01  -5.428913331719278E-01   5.458637867878384E-01   4.447782620628260E-02  -2.839717446640899E-02   9.257532670745410E-01   1.841064100188396E-01   6.286831484183970E+01  -6.281840410685206E+01   2.964069368205103E-01  -2.690252138812450E-01   8.034162554294527E-02   5.083314644489246E-01   4.197639834892283E+01   4.213836267653332E+01   4.880864875439597E-01   2.115128171207167E-01   2.177762973571928E-02  -9.473318012970605E-03
  2.0060000E+00   4.175482773250508E+01  -4.175755155863563E+01   4.804973329608822E-01  -4.778927831586474E-01  -4.772703033141404E-01   4.804177745645616E-01   4.316950950371790E-02  -2.748064312284293E-02   8.207082163013408E-01   1.585820115926267E-01   4.194545533403399E+01  -4.189589956346913E+01   2.634151896006074E-01  -2.362708223024166E-01   6.775497289828185E-02   4.555700445594485E-01   2.802799274474250E+01   2.818922276717975E+01   4.349330564875211E-01   1.987027325793854E-01   2.110266956633389E-02  -9.101801513308208E-03
  2.0080000E+00   3.127602142757310E+01  -3.127882432825497E+01   4.343338947866329E-01  -4.319009271146536E-01  -4.312124420039993E-01   4.345350014328347E-01   4.197355415970860E-02  -2.667517118780593E-02   7.468939501951481E-01   1.408467258553478E-01   3.146568014340832E+01  -3.141647716596806E+01   2.402064404059108E-01  -2.132979619974272E-01   5.903022955710743E-02   4.184579513742559E-01   2.104160685587354E+01   2.120207804977570E+01   3.974618252751652E-01   1.897189432519503E-01   2.048387510639427E-02  -8.784815399223975E-03
  2.0100000E+00   2.497839103127427E+01  -2.498127329901317E+01   3.989119320229950E-01  -3.966505878568259E-01  -3.958583138708600E-01   3.993560281979103E-01   4.086092548766707E-02  -2.595172891040734E-02   6.901556998712846E-01   1.273654093270823E-01   2.516703337468264E+01  -2.511818104618375E+01   2.223509564653153E-01  -1.956769118210698E-01   5.240852656054523E-02   3.899090823033872E-01   1.684261176016545E+01   1.700230911873857E+01   3.685779870406087E-01   1.828124364377859E-01   1.990673088807116E-02  -8.507853819530481E-03
  2.0200000E+00   1.233520487659376E+01  -1.233848824478513E+01   2.920126403484609E-01  -2.906099340632828E-01  -2.889504262458739E-01   2.933247849373949E-01   3.610744861344473E-02  -2.312489992237063E-02   5.178016009238966E-01   8.762260911765882E-02   1.251834964884218E+01  -1.247121932093709E+01   1.680253794938214E-01  -1.425020758583783E-01   3.290454840368809E-02   3.030792243930694E-01   8.410375984167064E+00   8.566120327503894E+00   2.803039599635915E-01   1.616472180139836E-01   1.742570964668633E-02  -7.503692518444460E-03
  2.0400000E+00   5.954469178483212E+00  -5.958574758025937E+00   1.927160372824073E-01  -1.930321305133412E-01  -1.887796411649599E-01   1.949102151259295E-01   2.884780839980650E-02  -1.962406296670385E-02   3.539362838657549E-01   5.273468377540430E-02   6.125748556807668E+00  -6.081915829342043E+00   1.162935005336333E-01  -9.296892405991103E-02   1.559612304222143E-02   2.205274072138743E-01   4.148164843578986E+00   4.296125638593509E+00   1.954793017678611E-01   1.404366862080851E-01   1.358731691720094E-02  -6.502459491713658E-03
  2.0600000E+00   3.804820907447355E+00  -3.809772876542967E+00   1.401292878846967E-01  -1.421641597149170E-01  -1.348066208692086E-01   1.426945615843281E-01   2.325362972787604E-02  -1.766660866423536E-02   2.635289274436230E-01   3.559751547988843E-02   3.963954941646480E+00  -3.923243103611044E+00   8.777892155161984E-02  -6.652465793650505E-02   6.757779313445098E-03   1.752153299953023E-01   2.705722413062872E+00   2.846395897044976E+00   1.483207069509522E-01   1.273644056569771E-01   1.058284650114483E-02  -6.187156876230553E-03
  2.0800000E+00   2.723030458116158E+00  -2.728850331348590E+00   1.060686204619408E-01  -1.098200719031053E-01  -9.911391561734031E-02   1.087573977489175E-01   1.871953723653164E-02  -1.665169534851840E-02   2.022574479749393E-01   2.524931024979159E-02   2.870122555307984E+00  -2.832374308021805E+00   6.851152497140110E-02  -4.920866394235414E-02   1.084205173455199E-03   1.447948964565277E-01   1.974733872098156E+00   2.108701434813608E+00   1.163042192181605E-01   1.173180865555632E-01   8.110803598750715E-03  -6.264736033985634E-03
  2.1000000E+00   2.082744398038708E+00  -2.083817134142637E+00   9.268241256207488E-02  -8.967609566593593E-02  -9.239193231603052E-02   9.400925534176313E-02   2.172823275798796E-02  -9.781241622995263E-03   1.915568604859670E-01   1.803698813314555E-02   2.231308119641302E+00  -2.191810047899091E+00   6.461476658257846E-02  -4.446555657346819E-02   2.993936514698192E-03   1.278029776891444E-01   1.547732570424634E+00   1.667754982809412E+00   1.090803773192204E-01   1.150874993428055E-01   1.086026159004128E-02  -2.173248470065094E-03
  2.2000000E+00   8.055301329254376E-01  -8.055217099778156E-01   4.043486564636889E-02  -3.772289426437514E-02  -3.950898820220294E-02   4.055964710436066E-02   1.312787101274870E-02  -4.701769797304384E-03   9.408340272870186E-02   4.260301800699987E-03   9.125600070573900E-01  -8.809040448449881E-01   3.345431237746796E-02  -1.867136468344996E-02  -2.100600774532223E-03   7.172415523074616E-02   6.579214804917326E-01   7.474847118068790E-01   5.624179191058865E-02   9.119060260921945E-02   6.637749324804432E-03  -6.743736194726666E-04
  2.3000000E+00   4.107826425257193E-01  -4.101317988510562E-01   2.171284113598260E-02  -1.934821358406097E-02  -2.029363593471284E-02   2.101327833872232E-02   8.431069404531533E-03  -2.448189904391287E-03   5.445591865768651E-02   8.196853110597341E-04   4.882342516925386E-01  -4.623986392100293E-01   2.052439284874903E-02  -9.534342772424563E-03  -2.830601702044607E-03   4.690068691504753E-02   3.643614320076130E-01   4.331262629153029E-01   3.422604881141655E-02   7.466616643174283E-02   4.389886612698346E-03  -2.197895612731787E-04
  2.4000000E+00   2.362883863861647E-01  -2.352345138787958E-01   1.306285629101556E-02  -1.103793633192401E-02  -1.142650177570495E-02   1.194403058865212E-02   5.631711749459312E-03  -1.350058937560683E-03   3.417597016387752E-02  -1.533694784328354E-04   2.925784123296925E-01  -2.712511832286790E-01   1.368832636081225E-02  -5.417762741249166E-03  -2.639856063718983E-03   3.308151854815086E-02   2.248763147205151E-01   2.790637954942169E-01   2.262641333807203E-02   6.180895051239434E-02   3.034693130794297E-03  -6.847702926208316E-05
  2.5000000E+00   1.461615534569924E-01  -1.448710159821894E-01   8.480852150988039E-03  -6.763252605138215E-03  -6.815402750976918E-03   7.202986397417205E-03   3.870313300910588E-03  -7.779995541085521E-04   2.256402325045359E-02  -3.890420830052546E-04   1.874117958083284E-01  -1.696773459509545E-01   9.607964180229061E-03  -3.313389619707778E-03  -2.245841614571080E-03   2.446586059189708E-02   1.475808380029631E-01   1.912683824693509E-01   1.573530945595492E-02   5.147589392712314E-02   2.159786867442115E-03  -1.729060003930263E-05
  2.6000000E+00   9.517760076707926E-02  -9.376699528130705E-02   5.820296596122487E-03  -4.370023492404229E-03  -4.232375530548435E-03   4.532014775007615E-03   2.719940471174631E-03  -4.645540343508336E-04   1.544091837362571E-02  -3.939687235253037E-04   1.257057016026568E-01  -1.108896408863085E-01   6.983009557174201E-03  -2.142089784369798E-03  -1.845099672993733E-03   1.870357236778966E-02   1.009085689319356E-01   1.368254692270261E-01   1.132105039715459E-02   4.306953395013431E-02   1.569690494862108E-03  -7.484503169591372E-07
  2.7000000E+00   6.448110916229743E-02  -6.303153060312194E-02   4.166532132480860E-03  -2.943922991837766E-03  -2.708724267607210E-03   2.946013466625208E-03   1.947293013902618E-03  -2.857624285365068E-04   1.085841337720250E-02  -3.341065638728519E-04   8.730598913308557E-02  -7.488934386922380E-02   5.205832441959990E-03  -1.446704421635633E-03  -1.492897432473758E-03   1.465693041619168E-02   7.110700803375325E-02   1.011197554154562E-01   8.344629003946613E-03   3.618886617437543E-02   1.159486986208824E-03   3.754349216053554E-06
  2.8000000E+00   4.510966324627064E-02  -4.367626026762872E-02   3.082459040356644E-03  -2.051503982320402E-03  -1.774810784063649E-03   1.966126599528634E-03   1.416551815219824E-03  -1.803263378004905E-04   7.804117169474711E-03  -2.650962864551715E-04   6.234593036451833E-02  -5.191630368780997E-02   3.957321355388866E-03  -1.011928871050432E-03  -1.199901483290546E-03   1.171005757951843E-02   5.129925634456534E-02   7.671371459189449E-02   6.263309549458862E-03   3.053366344602976E-02   8.679436123317785E-04   4.247870062805414E-06
  2.9000000E+00   3.241634198753185E-02  -3.103520862641718E-02   2.340894941851301E-03  -1.470307461140963E-03  -1.185021731473376E-03   1.341354782417453E-03   1.045038285258038E-03  -1.163613168587777E-04   5.711166262925449E-03  -2.042307395671572E-04   4.555552525448650E-02  -3.677826470146345E-02   3.055400484038288E-03  -7.282495033849937E-04  -9.621967959310574E-04   9.502605441401586E-03   3.772392858762430E-02   5.947635428971593E-02   4.768507319370396E-03   2.586889460598346E-02   6.571361932079522E-04   3.583091845270683E-06
  3.0000000E+00   2.383467763981817E-02  -2.252803591680730E-02   1.815712582668771E-03  -1.078953782194636E-03  -8.034942077100593E-04   9.325485689674201E-04   7.807037972777930E-04  -7.658741517811013E-05   4.244271209916661E-03  -1.552727355599616E-04   3.393878526712413E-02  -2.653894832127884E-02   2.389507633011136E-03  -5.364604675107583E-04  -7.716970453093823E-04   7.811158232139633E-03   2.818918810494164E-02   4.696815651773420E-02   3.672962273597147E-03   2.200735422772376E-02   5.025479415541323E-04   2.733915899963066E-06
  3.1000000E+00   1.787604175004120E-02  -1.665618448636741E-02   1.432994316640013E-03  -8.078533200506777E-04  -5.517443953257997E-04   6.591265912711669E-04   5.898957710170905E-04  -5.131173789559018E-05   3.196570203179094E-03  -1.174598163183951E-04   2.570917016531032E-02  -1.945936634553042E-02   1.889184715972216E-03  -4.028796014235378E-04  -6.199082668677837E-04   6.490777594785932E-03   2.135562236038391E-02   3.768051795612215E-02   2.857150961987465E-03   1.879896677585334E-02   3.878214016042048E-04   1.995688898667573E-06
  3.2000000E+00   1.364189895647194E-02  -1.251417059445981E-02   1.147396678592205E-03  -6.154220283628442E-04  -3.828362243359050E-04   4.727540253388063E-04   4.503686113439542E-04  -3.493415011124323E-05   2.436073273325956E-03  -8.880951439534449E-05   1.975965977478714E-02  -1.447121326861178E-02   1.507782891821276E-03  -3.074844298377385E-04  -4.992260152755087E-04   5.443922452909776E-03   1.637360394716492E-02   3.064567331961376E-02   2.241735491586239E-03   1.612311947925159E-02   3.017786424963642E-04   1.426780944162320E-06
  3.3000000E+00   1.057143166165520E-02  -9.536449959420823E-03   9.299940033702381E-04  -4.759142888850487E-04  -2.678907310517259E-04   3.435805586191609E-04   3.471357137310171E-04  -2.413443481048827E-05   1.876210174809545E-03  -6.728749810197901E-05   1.538203872858124E-02  -1.089816666665006E-02   1.213455135936663E-03  -2.379059993185741E-04  -4.032755347034479E-04   4.602919189507566E-03   1.268761861571344E-02   2.522362329632258E-02   1.772422238961235E-03   1.388273940894587E-02   2.366360478398555E-04   1.010737739465944E-06
  3.4000000E+00   8.304375801353014E-03  -7.359659738648827E-03   7.616979365436816E-04  -3.728911630846987E-04  -1.887104120083388E-04   2.527097049036670E-04   2.699316406176155E-04  -1.689845962296599E-05   1.458873330419497E-03  -5.116607120091848E-05   1.211072433391143E-02  -8.301059082625739E-03   9.839098608427571E-04  -1.862404098404019E-04  -3.268845241601860E-04   3.919592154321076E-03   9.925184744973059E-03   2.097995627450436E-02   1.411156122136825E-03   1.199958565212610E-02   1.868896175878376E-04   7.140243970969393E-07
  3.5000000E+00   6.603386679407297E-03  -5.744527986136228E-03   6.295349558083085E-04  -2.955673696747874E-04  -1.335926848057556E-04   1.879206053201771E-04   2.116199222585990E-04  -1.197902560720956E-05   1.144281673955083E-03  -3.908403576608627E-05   9.632326295303500E-03  -6.388419812499296E-03   8.032187794288050E-04  -1.472842504669208E-04  -2.659293653434581E-04   3.358882213921520E-03   7.831150906714379E-03   1.761300705093911E-02   1.130749807542353E-03   1.041047947889626E-02   1.485963848899541E-04   5.048909736465532E-07
  3.6000000E+00   5.308559400807100E-03  -4.530049854719054E-03   5.244577145857576E-04  -2.366944226716849E-04  -9.487791536081161E-05   1.411598522988583E-04   1.671725375362865E-04  -8.589340349626773E-06   9.047292428741027E-04  -3.000658901832279E-05   7.731472003524004E-03  -4.963068816044580E-03   6.598020425384920E-04  -1.175210149710667E-04  -2.171539352878617E-04   2.894785262438720E-03   6.227487684528965E-03   1.490900261927276E-02   9.114760425543711E-04   9.064287001152770E-03   1.188994948622124E-04   3.581505730321233E-07
  3.7000000E+00   4.309979061670965E-03  -3.605782658308854E-03   4.400132897124376E-04  -1.912949808195730E-04  -6.747461518500850E-05   1.070309065830805E-04   1.330035149522679E-04  -6.224572167968373E-06   7.206260653611629E-04  -2.316106506554394E-05   6.257396810867150E-03  -3.889333854144472E-03   5.451164402240378E-04  -9.451893918216523E-05  -1.779999238710596E-04   2.507690979294503E-03   4.987962414981117E-03   1.271366852224957E-02   7.388343753553794E-04   7.919510267279328E-03   9.570800448233108E-05   2.552181013618440E-07
  3.8000000E+00   3.530711715723944E-03  -2.894650734937720E-03   3.715075470720475E-04  -1.558847341211755E-04  -4.795179753099704E-05   8.186281363710413E-05   1.065265273849647E-04  -4.555729233243072E-06   5.779329353188256E-04  -1.797552529941848E-05   5.102808064104264E-03  -3.072436045270382E-03   4.527786134551912E-04  -7.656212802293390E-05  -1.464615893014951E-04   2.182594059596938E-03   4.021788605563792E-03   1.091381616982386E-02   6.020483002227017E-04   6.942368697655577E-03   7.747743253672112E-05   1.828502143607670E-07
  3.9000000E+00   2.916014753359786E-03  -2.342022062101268E-03   3.154661001005810E-04  -1.279818759196971E-04  -3.396908127388694E-05   6.312412995383709E-05   8.585679675543467E-05  -3.365316720176093E-06   4.664659539435068E-04  -1.402805639665397E-05   4.190207999192966E-03  -2.445249676432393E-03   3.779657645722580E-04  -6.241819812099255E-05  -1.209668719061046E-04   1.907864461735884E-03   3.262840174980575E-03   9.425143620283905E-03   4.930317987696942E-04   6.105273334085115E-03   6.305726129407496E-05   1.317737598508992E-07
  4.0000000E+00   2.426346352519371E-03  -1.908622942325799E-03   2.692778027790776E-04  -1.057907673104874E-04  -2.391247856988604E-05   4.904728041293938E-05   6.960750630091717E-05  -2.507628263353351E-06   3.787561242318827E-04  -1.100749072251161E-05   3.462862129601799E-03  -1.959636726082625E-03   3.169981104477948E-04  -5.118815398172469E-05  -1.002824639858587E-04   1.674384820284792E-03   2.662400875115267E-03   8.183995153977996E-03   4.056658558984072E-04   5.385614043750014E-03   5.158368242907940E-05   9.554891993064640E-08
  4.1000000E+00   2.032748556245911E-03  -1.565854954898693E-03   2.309535891085179E-04  -8.799367535666791E-05  -1.665793547115518E-05   3.838379402305164E-05   5.674902678198812E-05  -1.883838241255320E-06   3.092702248854717E-04  -8.683935465833917E-06   2.878725198989976E-03  -1.580678822416998E-03   2.670431049074066E-04  -4.220713895898651E-05  -8.343908926551743E-05   1.474934425555741E-03   2.184207875992827E-03   7.141695974214157E-03   3.352843554038643E-04   4.764795033030914E-03   4.240335513050475E-05   6.971645306387032E-08
  4.2000000E+00   1.713744045807930E-03  -1.292646376469475E-03   1.989599809961717E-04  -7.361104859571199E-05  -1.141562559291327E-05   3.024241907337993E-05   4.651045814818566E-05  -1.426141367104339E-06   2.538709963353369E-04  -6.887031375692534E-06   2.406287790404339E-03  -1.282778690146036E-03   2.259028745372866E-04  -3.497744270707526E-05  -6.967317790984980E-05   1.303742126046208E-03   1.801012531963186E-03   6.260593753898341E-03   2.783040974689843E-04   4.227466873309320E-03   3.501868456567969E-05   5.118743662377474E-08
  4.3000000E+00   1.453216433865867E-03  -1.073302022605638E-03   1.721020091649539E-04  -6.190613865075800E-05  -7.626097457915162E-06   2.398058305605466E-05   3.831003286070001E-05  -1.087511356939741E-06   2.094383549948731E-04  -5.490051838119223E-06   2.021692900965009E-03  -1.046988205088500E-03   1.918595072234574E-04  -2.912242645533407E-05  -5.838154856996195E-05   1.156157072684270E-03   1.492161555612048E-03   5.511251129276702E-03   2.319556040257797E-04   3.760913857683089E-03   2.904819784488311E-05   3.781698247650248E-08
  4.4000000E+00   1.238940663905286E-03  -8.960137705357196E-04   1.494394995842363E-04  -5.231885043338602E-05  -4.890195205492845E-06   1.913070007365097E-05   3.170543153019345E-05  -8.350013696589720E-07   1.736005053634138E-04  -4.398317415551384E-06   1.706706176735795E-03  -8.591535978342835E-04   1.635611736426565E-04  -2.435429577611050E-05  -4.908627300383452E-05   1.028403031884482E-03   1.241874967484291E-03   4.870426689899128E-03   1.940853643085383E-04   3.354564126608974E-03   2.419761623162486E-05   2.811014226033678E-08
  4.5000000E+00   1.061549993042199E-03  -7.518150874945562E-04   1.302263085141142E-04  -4.441918813241630E-05  -2.921262829577026E-06   1.534955366226665E-05   2.635798373007425E-05  -6.453077574884031E-07   1.445410261808888E-04  -3.540761224076622E-06   1.447268707857267E-03  -7.086126658384651E-04   1.399374558281570E-04  -2.045121445048764E-05  -4.140744956742672E-05   9.173928552530485E-04   1.038006400084779E-03   4.319604154627191E-03   1.630093109001862E-04   2.999596904447590E-03   2.023857391475481E-05   2.102017410457978E-08
  4.6000000E+00   9.138005024575957E-04  -6.338382321057212E-04   1.138656095827084E-04  -3.787404750477119E-05  -1.512225853386728E-06   1.238315234385751E-05   2.200664810914077E-05  -5.017988335791201E-07   1.208591003771797E-04  -2.863781130168011E-06   1.232452951098494E-03  -5.872696910721453E-04   1.201358163540978E-04  -1.724082842693986E-05  -3.504209231002268E-05   8.205868476494661E-04   8.711415088584751E-04   3.843907918785555E-03   1.374034097909593E-04   2.688626666186255E-03   1.699284890466224E-05   1.581039909040981E-08
