'D'-form resistance scalars, generated 28/03/2022 11:08:27
             s'          lambda           gamma              XA              YA              YB              XC              YC              XG              YG              YH              XM              YM              ZM 
 2.02500000e+00  1.00000000e+00  1.00000000e+00 -9.64024419e+00 -2.44106205e-01  2.40398139e-01 -2.09050907e-02  5.48800800e-02 -9.69284692e+00 -1.08496553e-01  2.15574091e-01  6.49117894e+00 -4.05495673e-02 -5.87211853e-03
 2.05000000e+00  1.00000000e+00  0.00000000e+00  4.54428848e+00  1.57970190e-01 -1.49421533e-01  3.00939764e-02  2.81002604e-01  4.59946443e+00  7.61231661e-02 -1.54957765e-02  3.11448329e+00  1.92625805e-01  1.46725333e-02
 2.05000000e+00  1.00000000e+00  1.00000000e+00 -4.54123541e+00 -1.53668169e-01  1.51274717e-01 -1.59159775e-02  2.52634783e-02 -4.58949448e+00 -6.53342406e-02  1.41246780e-01  3.08650759e+00 -4.63933908e-02 -4.13912416e-03
 2.10000000e+00  1.00000000e+00  0.00000000e+00  1.98302727e+00  8.54881734e-02 -7.87200205e-02  2.20132722e-02  1.60218249e-01  2.02893624e+00  4.15995248e-02 -1.95709762e-02  1.39372146e+00  1.24088972e-01  1.08358284e-02
 2.10000000e+00  1.00000000e+00  1.00000000e+00 -1.98001388e+00 -8.15570818e-02  8.02803087e-02 -1.01010763e-02  5.78853833e-03 -2.01910397e+00 -3.20936923e-02  7.96011025e-02  1.36724748e+00 -4.27079447e-02 -2.18528452e-03
 2.20000000e+00  1.00000000e+00  0.00000000e+00  7.42432772e-01  3.69640429e-02 -3.18514463e-02  1.31546697e-02  7.38275707e-02  7.73227311e-01  1.88722350e-02 -1.63494616e-02  5.44944952e-01  6.95115608e-02  6.63459258e-03
 2.20000000e+00  1.00000000e+00  1.00000000e+00 -7.39516284e-01 -3.36959242e-02  3.29914488e-02 -4.73338362e-03 -2.26119638e-03 -7.63827223e-01 -1.14867089e-02  3.55069952e-02  5.20944969e-01 -2.95283247e-02 -6.80321345e-04
 2.30000000e+00  1.00000000e+00  0.00000000e+00  3.71611562e-01  1.99327384e-02 -1.57555903e-02  8.43422214e-03  4.08419151e-02  3.92230462e-01  1.08911654e-02 -1.21830063e-02  2.82627557e-01  4.51103257e-02  4.38946023e-03
 2.30000000e+00  1.00000000e+00  1.00000000e+00 -3.68815045e-01 -1.72250593e-02  1.66152505e-02 -2.45219346e-03 -2.83069032e-03 -3.83427312e-01 -5.13757717e-03  1.88533866e-02  2.61262254e-01 -1.96074937e-02 -2.21078089e-04
 2.40000000e+00  1.00000000e+00  0.00000000e+00  2.11759618e-01  1.21032403e-02 -8.61568422e-03  5.63214754e-03  2.47556377e-02  2.25722096e-01  7.11745258e-03 -8.96520029e-03  1.65760065e-01  3.12834254e-02  3.03463080e-03
 2.40000000e+00  1.00000000e+00  1.00000000e+00 -2.09103215e-01 -9.86194015e-03  9.27998006e-03 -1.35057278e-03 -2.27890718e-03 -2.17623348e-01 -2.61601103e-03  1.08982059e-02  1.47142348e-01 -1.30045280e-02 -6.87445873e-05
 2.50000000e+00  1.00000000e+00  0.00000000e+00  1.30587844e-01  7.94248740e-03 -5.01308932e-03  3.87038257e-03  1.58948855e-02  1.40176759e-01  5.00882120e-03 -6.62859025e-03  1.04574575e-01  2.25314602e-02  2.15977677e-03
 2.50000000e+00  1.00000000e+00  1.00000000e+00 -1.28088697e-01 -6.08567442e-03  5.53522446e-03 -7.78084306e-04 -1.66802692e-03 -1.32840009e-01 -1.46917615e-03  6.64214891e-03  8.86348120e-02 -8.68293491e-03 -1.73489532e-05
 2.60000000e+00  1.00000000e+00  0.00000000e+00  8.51289883e-02  5.50777081e-03 -3.04274286e-03  2.71995255e-03  1.06302484e-02  9.18029047e-02  3.69457052e-03 -4.94398013e-03  6.93487274e-02  1.66311101e-02  1.56968868e-03
 2.60000000e+00  1.00000000e+00  1.00000000e+00 -8.27987862e-02 -3.96627172e-03  3.45853634e-03 -4.64569275e-04 -1.18484500e-03 -8.52407165e-02 -8.95552993e-04  4.20238866e-03  5.58844886e-02 -5.85056027e-03 -7.62088652e-07
 2.70000000e+00  1.00000000e+00  0.00000000e+00  5.78882543e-02  3.97983911e-03 -1.90451266e-03  1.94729529e-03  7.33360303e-03  6.25855485e-02  2.81106859e-03 -3.72299549e-03  4.77170448e-02  1.24919666e-02  1.15948663e-03
 2.70000000e+00  1.00000000e+00  1.00000000e+00 -5.57333611e-02 -2.69643637e-03  2.23891602e-03 -2.85765381e-04 -8.34596893e-04 -5.67766814e-02 -5.84811358e-04  2.73623100e-03  3.64548373e-02 -3.98201585e-03  3.75092620e-06
 2.80000000e+00  1.00000000e+00  0.00000000e+00  4.07115914e-02  2.96804864e-03 -1.21963841e-03  1.41655228e-03  5.18566799e-03  4.40454539e-02  2.18546930e-03 -2.82952324e-03  3.37869448e-02  9.50923710e-03  8.67943535e-04
 2.80000000e+00  1.00000000e+00  1.00000000e+00 -3.87335682e-02 -1.89595853e-03  1.49066343e-03 -1.80326949e-04 -5.88930739e-04 -3.89458470e-02 -4.04435634e-04  1.82410817e-03  2.44301460e-02 -2.73835851e-03  4.24695058e-06
 2.90000000e+00  1.00000000e+00  0.00000000e+00  2.94352986e-02  2.26919630e-03 -7.94773579e-04  1.04503839e-03  3.74211421e-03  3.18141496e-02  1.72583346e-03 -2.16921957e-03  2.44805135e-02  7.31756518e-03  6.57136175e-04
 2.90000000e+00  1.00000000e+00  1.00000000e+00 -2.76306852e-02 -1.37037646e-03  1.01586401e-03 -1.16361451e-04 -4.17682547e-04 -2.73648027e-02 -2.92746667e-04  1.24032630e-03  1.67408095e-02 -1.90259895e-03  3.58282880e-06
 3.00000000e+00  1.00000000e+00  0.00000000e+00  2.17831883e-02  1.76987418e-03 -5.24762424e-04  7.80703820e-04  2.74757764e-03  2.34840176e-02  1.37915514e-03 -1.67690957e-03  1.80775586e-02  5.68315143e-03  5.02547937e-04
 3.00000000e+00  1.00000000e+00  1.00000000e+00 -2.01454222e-02 -1.01348119e-03  7.06153925e-04 -7.65874461e-05 -2.98345864e-04 -1.96201408e-02 -2.19510613e-04  8.58037593e-04  1.16915155e-02 -1.33538381e-03  2.73383616e-06
 3.10000000e+00  1.00000000e+00  0.00000000e+00  1.64445705e-02  1.40315466e-03 -3.49812359e-04  5.89895777e-04  2.04760985e-03  1.76586622e-02  1.11259107e-03 -1.30634342e-03  1.35647769e-02  4.44967748e-03  3.87821400e-04
 3.10000000e+00  1.00000000e+00  1.00000000e+00 -1.49641627e-02 -7.64192298e-04  4.99372745e-04 -5.13117454e-05 -2.14652171e-04 -1.43137661e-02 -1.69082683e-04  6.02566816e-04  8.30146551e-03 -9.46508251e-04  1.99566337e-06
 3.20000000e+00  1.00000000e+00  0.00000000e+00  1.26294364e-02  1.12764856e-03 -2.34628152e-04  4.50368613e-04  1.54602634e-03  1.34910876e-02  9.04649515e-04 -1.02507480e-03  1.03191958e-02  3.50950671e-03  3.01778642e-04
 3.20000000e+00  1.00000000e+00  1.00000000e+00 -1.12954865e-02 -5.85832640e-04  3.58530322e-04 -3.49341520e-05 -1.55951041e-04 -1.06014540e-02 -1.32917112e-04  4.29187924e-04  5.98129220e-03 -6.77267058e-04  1.42677238e-06
 3.30000000e+00  1.00000000e+00  0.00000000e+00  9.84666836e-03  9.16726048e-04 -1.57833875e-04  3.47135714e-04  1.18095604e-03  1.04512548e-02  7.40556647e-04 -8.09882794e-04  7.94476422e-03  2.78661100e-03  2.36636048e-04
 3.30000000e+00  1.00000000e+00  1.00000000e+00 -8.64770103e-03 -4.55564366e-04  2.60924521e-04 -2.41344353e-05 -1.14263462e-04 -7.95806404e-03 -1.06109147e-04  3.09546250e-04  4.36665509e-03 -4.89043021e-04  1.01073469e-06
 3.40000000e+00  1.00000000e+00  0.00000000e+00  7.77951788e-03  7.52659128e-04 -1.06104818e-04  2.69931641e-04  9.11563008e-04  8.19579111e-03  6.09857874e-04 -6.44012581e-04  6.18164139e-03  2.22646946e-03  1.86889617e-04
