                  lambda                      s^                    X11A                    X12A                    Y11A                    Y12A                    Y11B                    Y12B                    X11C                    X12C                    Y11C                    Y12C                    X11G                    X12G                    Y11G                    Y12G                    Y11H                    Y12H                    X11M                    X12M                    Y11M                    Y12M                    Z11M                    Z12M
   1.000000000000000E+00   5.999999865889549E-02   1.196858834056782E+01  -8.067796525994151E+00   7.962554989451856E+00  -3.602385758470534E+00  -1.133173313047586E+00   2.035054468756869E+00   8.106073578627141E+00  -9.272757050089856E-01   8.796965765234747E+00   7.759542967554627E-01   3.278487269401851E+00  -4.617958297614466E+00   3.578729898216998E-01  -6.399985715123883E-01   2.199241183840673E-02   1.040856292074747E+00   7.889011449994847E+00   1.344705427104084E+00   7.283529304105833E+00  -1.436139100934214E+00   6.686100599490329E+00  -3.604680705731490E-01
   1.000000000000000E+00   7.999999821186066E-02   1.182630457511745E+01  -7.920305335722854E+00   7.879236921536611E+00  -3.508768212889624E+00  -1.076274296376544E+00   1.967622203587081E+00   8.100024485036151E+00  -9.001115363642291E-01   8.754316813526742E+00   7.394645088307042E-01   3.230901338759138E+00  -4.552590822476211E+00   3.379497452118863E-01  -6.083669113861682E-01   1.672044158739389E-02   1.008263884485625E+00   7.877311063753414E+00   1.384325117975584E+00   7.250537127119095E+00  -1.403868360913403E+00   6.684306032635164E+00  -3.433757713570893E-01
   1.000000000000000E+00   9.999999776482582E-02   1.168531286246571E+01  -7.773991105275158E+00   7.801857925253220E+00  -3.421114277324226E+00  -1.023594046652224E+00   1.904435492541446E+00   8.094377328551960E+00  -8.740284369288593E-01   8.714747490832050E+00   7.056652925311100E-01   3.179594232510893E+00  -4.484345642354992E+00   3.195540280732782E-01  -5.789242439729519E-01   1.217600231934799E-02   9.773255411430041E-01   7.863948916277565E+00   1.417145892766938E+00   7.219691917639581E+00  -1.372265886497058E+00   6.682692422491554E+00  -3.272540252092588E-01
   1.000000000000000E+00   2.000000000000002E-01   1.101310640568725E+01  -7.073831063826731E+00   7.485616655497545E+00  -3.054168309392791E+00  -8.104326662126677E-01   1.639579486153769E+00   8.071187104769193E+00  -7.580002915823806E-01   8.553955085585580E+00   5.685261685886104E-01   2.888114310628533E+00  -4.118153087663705E+00   2.456423492954612E-01  -4.581728046425945E-01  -2.631231266754660E-03   8.432926093590318E-01   7.777105169327676E+00   1.500769035906070E+00   7.092181530196103E+00  -1.224825714416784E+00   6.676722000114053E+00  -2.591074411255616E-01
   1.000000000000000E+00   2.999999999999998E-01   1.041502472332170E+01  -6.446288968125083E+00   7.253663496660066E+00  -2.773149108808060E+00  -6.571923419295884E-01   1.436824161378144E+00   8.054408485264435E+00  -6.619880402124136E-01   8.438023112895472E+00   4.691218118820550E-01   2.577912062071633E+00  -3.745069769435879E+00   1.931106313056709E-01  -3.696851734738369E-01  -9.350540584459950E-03   7.358199845620741E-01   7.670390917048721E+00   1.494105820997510E+00   6.998454265378702E+00  -1.094955124971703E+00   6.673109989837594E+00  -2.073571899396162E-01
   1.000000000000000E+00   3.999999999999999E-01   9.898721622119821E+00  -5.899686264214552E+00   7.076947529488116E+00  -2.549396262133968E+00  -5.430714729534281E-01   1.275975680396643E+00   8.042082455353038E+00  -5.817478628004223E-01   8.351926649674699E+00   3.942146182214196E-01   2.281165278271744E+00  -3.393201786763565E+00   1.544381842910918E-01  -3.028764394440381E-01  -1.198466324679411E-02   6.476309497978172E-01   7.558850967749592E+00   1.438658245116657E+00   6.928288488871098E+00  -9.812933762325634E-01   6.670875196303248E+00  -1.675546954446989E-01
   1.000000000000000E+00   5.000000000000000E-01   9.459033259230932E+00  -5.429283401488755E+00   6.938303014145160E+00  -2.365893962476855E+00  -4.557037742949749E-01   1.144904888811984E+00   8.032902769744874E+00  -5.141057772636719E-01   8.286518332186109E+00   3.360574097119147E-01   2.011881577850444E+00  -3.074245945525080E+00   1.252101052289138E-01  -2.512635407781166E-01  -1.254824408008962E-02   5.740309577468494E-01   7.451752612743579E+00   1.359340468372915E+00   6.874986169652604E+00  -8.819370195000923E-01   6.669464042637858E+00  -1.365906235932233E-01
   1.000000000000000E+00   6.000000000000001E-01   9.086113679633058E+00  -5.025519943745238E+00   6.826956426203888E+00  -2.211889141551738E+00  -3.873071359931326E-01   1.035854171463734E+00   8.025981130632292E+00  -4.566443519931890E-01   8.235913416039837E+00   2.898300773815888E-01   1.774133681975767E+00  -2.790895677420916E+00   1.026646213353333E-01  -2.106519936756167E-01  -1.208890703891255E-02   5.118033226238882E-01   7.353722781226342E+00   1.270525966169269E+00   6.833993548916544E+00  -7.949818484832228E-01   6.668556216405024E+00  -1.122522545604991E-01
   1.000000000000000E+00   7.000000000000002E-01   8.769420151134549E+00  -4.678053577901535E+00   6.735815258587791E+00  -2.080240010538235E+00  -3.327616851816960E-01   9.436096850386636E-01   8.020702835972031E+00  -4.074939204375365E-01   8.196165413873565E+00   2.523827293249122E-01   1.567151295283921E+00  -2.541522349559442E+00   8.498717922204568E-02  -1.782110921549739E-01  -1.116099989968491E-02   4.586427304651686E-01   7.266461080013929E+00   1.180220963557197E+00   6.802130159270223E+00  -7.187030392483063E-01   6.667962101206927E+00  -9.294034871376509E-02
   1.000000000000000E+00   7.999999999999998E-01   8.499350908969015E+00  -4.377427553931777E+00   6.660025456850250E+00  -1.966006617272525E+00  -2.885763138055263E-01   8.645239882822989E-01   8.016635810565228E+00  -3.651893135279351E-01   8.164540671126966E+00   2.215723868157158E-01   1.388116118966937E+00  -2.322752765541607E+00   7.093868678197401E-02  -1.519656077160238E-01  -1.005865078501261E-02   4.128392136223200E-01   7.190044868478509E+00   1.092699059952753E+00   6.777127852977266E+00  -6.515993717268234E-01   6.667567090687508E+00  -7.748314377342200E-02
