1,-0.074081,-0.02936,-0.02936,-0.074081
0.5,-0.055517,-0.010527,-0.085471,-0.056788
0.25,-0.032264,-0.014771,-0.098113,0.011482
0.2,-0.026665,-0.014286,-0.08881,0.041717
0.125,-0.018267,-0.010577,-0.061203,0.11207
0.1,-0.015589,-0.0084436,-0.048255,0.14661
0.01,-0.0044087,-0.00023015,-0.0014154,0.44206
2,-0.056788,-0.085471,-0.010527,-0.055517
3,-0.022434,-0.1016,-0.013568,-0.041065
4,0.011482,-0.098113,-0.014771,-0.032264
5,0.041717,-0.08881,-0.014286,-0.026665
10,0.14661,-0.048255,-0.0084436,-0.015589
20,0.25124,-0.019435,-0.0033843,-0.010399
100,0.44206,-0.0014154,-0.00023015,-0.0044087
