1,-0.46924,0.19544,0.19544,-0.46924
0.5,-0.077579,-0.13658,-1.1863e+22,2.002e+22
0.25,0.06528,-0.2921,-5.4853e+35,2.1427e+36
0.2,0.071144,-0.28201,-5.6327e+38,3.0416e+39
0.125,0.058869,-0.21737,-2.6006e+43,2.9623e+44
0.1,0.049186,-0.18096,-9.7455e+44,1.6214e+46
0.01,0.0018912,-0.0074426,-5.0954e+49,6.5623e+52
2,-0.78033,0.22894,37.123,-20.974
3,-0.69175,0.12207,30.181,-13.488
4,-0.4717,0.050857,23.656,-9.2966
5,-0.21878,0.011089,18.704,-6.7764
10,0.87696,-0.030454,7.4432,-2.2669
100,4.8416,-0.0018986,0.16859,-0.043197
